fold,framework,accuracy,f1_macro,roc_auc_ovr,avg_precision_ovr
1,CatBoost,0.765,0.684553172925266,0.8014888337468982,0.7297189478473087
2,CatBoost,0.62,0.5703301673450927,0.7837373544569574,0.7453102930538725
3,CatBoost,0.72,0.6361746361746362,0.7909906470700515,0.7431898767138437
4,CatBoost,0.64,0.5628946090335114,0.6994655468600878,0.757962002017542
5,CatBoost,0.665,0.6166938413570182,0.8645733918686772,0.7071533382962589
