fold,framework,accuracy,f1_macro,roc_auc_ovr,avg_precision_ovr
1,XGBoost,0.855,0.66277109134252,0.8503531208245848,0.5188886556560215
2,XGBoost,0.845,0.5961175167741515,0.7115861805688108,0.35691133814584847
3,XGBoost,0.83,0.6360522372083066,0.7841191066997518,0.4174313465997257
4,XGBoost,0.865,0.6482313855774868,0.7390723420500096,0.4095244506577328
5,XGBoost,0.865,0.6745223313844856,0.857606413437679,0.5786749619100121
