feature,importance
worst_texture,516
mean_texture,454
worst_concave_points,436
mean_concave_points,388
worst_perimeter,343
area_error,310
worst_concavity,292
worst_radius,280
worst_smoothness,274
worst_area,256
mean_concavity,233
worst_symmetry,232
smoothness_error,212
radius_error,186
mean_radius,184
compactness_error,179
texture_error,173
mean_compactness,168
mean_symmetry,167
worst_compactness,158
mean_smoothness,155
concave_points_error,150
perimeter_error,147
symmetry_error,139
fractal_dimension_error,132
mean_fractal_dimension,131
mean_perimeter,131
worst_fractal_dimension,88
mean_area,77
concavity_error,49
