feature,importance
worst_texture,660
mean_texture,586
mean_concave_points,477
worst_concave_points,388
worst_area,353
worst_perimeter,334
worst_smoothness,322
worst_radius,302
worst_concavity,277
area_error,232
mean_radius,210
mean_smoothness,201
mean_symmetry,168
mean_compactness,165
mean_concavity,163
symmetry_error,159
worst_symmetry,140
mean_perimeter,135
compactness_error,128
mean_area,124
worst_compactness,121
texture_error,112
smoothness_error,102
fractal_dimension_error,97
concave_points_error,88
worst_fractal_dimension,83
mean_fractal_dimension,78
radius_error,70
perimeter_error,69
concavity_error,49
