classifier,accuracy,precision,recall,f1
Random Forest,0.8111111111111111,0.8119247129681912,0.7499999999999999,0.7786036620237756
Decision Tree,0.725925925925926,0.7006993006993005,0.6749999999999999,0.686189723320158
Logistic Regression,0.837037037037037,0.8309999999999998,0.7916666666666666,0.8087662337662337
SVM (RBF),0.8296296296296297,0.8274891774891774,0.7749999999999999,0.7996618357487923
GaussianNB,0.8407407407407408,0.8344501874936657,0.8,0.8153663555069659
