export PYTHONPATH=.
RUN_ALL_MAX_DATASETS=2 python scripts/run_all.py --fastframework,seed,fold,fit_time_sec,predict_time_sec,accuracy,precision,recall,f1
automl_suite_flaml,42,1,2265.2791459169966,0.10739170899614692,0.9228823493121106,0.9228884058125109,0.9228823493121106,0.9228853624579435
automl_suite_flaml,42,2,4001.28381275,0.0841898329963442,0.9234375963970634,0.9236227162353676,0.9234375963970634,0.9235187666923341
automl_suite_flaml,42,3,3123.2198340410105,0.0936879999935627,0.9217718551422049,0.9222355518382085,0.9217718551422049,0.9219498336451732
automl_suite_flaml,42,4,2465.903583749998,0.07987333300116006,0.9218335492627553,0.9220844801137679,0.9218335492627553,0.9219400941723394
automl_suite_flaml,42,5,1759.0836129590025,0.07349416700890288,0.9235609846381639,0.9238638733228275,0.9235609846381639,0.9236852758194218
automl_suite_flaml,42,6,3159.9229752079846,0.10697929200250655,0.9267073847862298,0.9270536974578014,0.9267073847862298,0.9268443318289069
automl_suite_flaml,42,7,1382.6225412920176,0.07488295799703337,0.9180702079091863,0.9182240611811368,0.9180702079091863,0.9181398905221367
automl_suite_flaml,42,8,1195.496285375004,0.08172854100121185,0.9251650317724721,0.9251066184174128,0.9251650317724721,0.9251341521992597
automl_suite_flaml,42,9,1647.146336875012,0.11798566702054814,0.9300388672959466,0.9300669231528665,0.9300388672959466,0.9300525142838648
automl_suite_flaml,42,10,947.5284030420007,0.07964999999967404,0.9252267258930224,0.9252879481458061,0.9252267258930224,0.9252558237596205
