framework,metric,mean,std,ci95_low,ci95_high,boot_ci_low,boot_ci_high,n
feature_ablation_xgboost_baseline,fit_time_sec,0.5137089166004444,0.004975653123728865,0.5039566364779358,0.523461196722953,0.5092253583978164,0.5172868998051854,5
feature_ablation_xgboost_baseline,predict_time_sec,0.00196743320266246,4.817964831348078e-05,0.0018730010919680376,0.002061865313356882,0.0019325330038554602,0.0020053418033057204,5
feature_ablation_xgboost_poly2,fit_time_sec,0.5451009751996025,0.005122616678466277,0.5350606465098087,0.5551413038893964,0.5409203660994536,0.5489642253989586,5
feature_ablation_xgboost_poly2,predict_time_sec,0.00451150820008476,3.8277568810772205e-05,0.004436484165215647,0.004586532234953874,0.004481699797906901,0.0045437832013703406,5
automl_suite_flaml,fit_time_sec,600.0265767745993,0.04460789563827942,599.9391452991483,600.1140082500503,600.0028932246001,600.067613749599,5
automl_suite_flaml,predict_time_sec,0.0015543835994321399,0.0002504845529220621,0.0010634338757048983,0.0020453333231593815,0.00137416699726596,0.00173460020159832,5
H2O_AutoML,f1_macro,0.7977941176470589,0.0,0.7977941176470589,0.7977941176470589,0.7977941176470589,0.7977941176470589,1
H2O_AutoML,accuracy,0.797979797979798,0.0,0.797979797979798,0.797979797979798,0.797979797979798,0.797979797979798,1
H2O_AutoML,roc_auc_ovr,0.8779591836734694,0.0,0.8779591836734694,0.8779591836734694,0.8779591836734694,0.8779591836734694,1
H2O_AutoML,avg_precision_ovr,0.8891339965262723,0.0,0.8891339965262723,0.8891339965262723,0.8891339965262723,0.8891339965262723,1
boosting_suite_xgboost_baseline,fit_time_sec,0.5063132623006823,0.012574077102736338,0.4816680711793191,0.5309584534220455,0.4979050771634138,0.5132887652432692,10
boosting_suite_xgboost_baseline,predict_time_sec,0.0019314916018628998,6.0008245332865e-05,0.0018138754410104844,0.002049107762715315,0.001901741494875724,0.0019747661616201667,10
boosting_suite_lightgbm_baseline,fit_time_sec,0.6770874333014945,0.009222143614805667,0.6590120318164754,0.6951628347865135,0.6715157852055927,0.6822873166630598,10
boosting_suite_lightgbm_baseline,predict_time_sec,0.0017992461012908798,6.726578784198043e-05,0.001667405157120598,0.0019310870454611615,0.0017573174557764639,0.0018404218248178634,10
boosting_suite_catboost_baseline,fit_time_sec,0.25602958329691317,0.025578067033879333,0.20589657191050967,0.30616259468331664,0.2471191008240566,0.2724354983735975,10
boosting_suite_catboost_baseline,predict_time_sec,0.0013261668995255102,0.00020174995510003932,0.0009307369875294332,0.0017215968115215873,0.0012521677638869084,0.0014578582796092984,10
automl_suite_h2o,fit_time_sec,572.8575733749982,8.998904692368107,555.2197201779567,590.4954265720397,568.3606274833961,581.0381133166026,5
automl_suite_h2o,predict_time_sec,0.02472022500005544,0.007562431548365659,0.00989785916525875,0.039542590834852134,0.020590357001055885,0.03156451660033774,5
