mae,r2,rmse,framework,f1_macro,accuracy,roc_auc_ovr,avg_precision_ovr
0.037677623,0.1105123519897461,0.044779316,XGBoost,,,,
0.0380684041346045,0.088190159344585,0.0453568026970395,LightGBM,,,,
0.0368190698035494,0.2657028454245626,0.0407766481463012,CatBoost,,,,
0.0387177937605229,0.173486030985566,0.0431956161268863,FLAML,,,,
,,,H2O_AutoML,0.7977941176470589,0.797979797979798,0.8779591836734694,0.8891339965262723
