framework_a,framework_b,metric,diff,t_stat,p_value,boot_ci_low,boot_ci_high
feature_ablation_xgboost_baseline,feature_ablation_xgboost_poly2,fit_time_sec,-0.03139205859915817,-8.801227724968792,0.0009193815599456358,-0.0366325836017495,-0.02444955079408828
feature_ablation_xgboost_baseline,feature_ablation_xgboost_poly2,predict_time_sec,-0.0025440749974223005,-85.73264924158438,1.1096153685275867e-07,-0.0025949417991796603,-0.0024932081956649398
feature_ablation_xgboost_baseline,automl_suite_flaml,fit_time_sec,-599.5128678579989,-31562.901352018056,6.04565799900104e-18,-599.5521087747941,-599.4882787330018
feature_ablation_xgboost_baseline,automl_suite_flaml,predict_time_sec,0.00041304960323032005,4.428744047993064,0.01143312732410835,0.0002666075553133896,0.00056049940758384
feature_ablation_xgboost_baseline,automl_suite_h2o,fit_time_sec,-572.3438644583978,-142.14355529442088,1.469262083702983e-08,-580.529079166404,-567.8431493753917
feature_ablation_xgboost_baseline,automl_suite_h2o,predict_time_sec,-0.02275279179739298,-6.760576706335157,0.002496795515848503,-0.029548191401408963,-0.01861669323458045
feature_ablation_xgboost_poly2,automl_suite_flaml,fit_time_sec,-599.4814757993997,-27233.832768048364,1.0907272948410307e-17,-599.5261210739991,-599.4544157828029
feature_ablation_xgboost_poly2,automl_suite_flaml,predict_time_sec,0.0029571246006526207,25.142734700579,1.4857132664469224e-05,0.00276094139553608,0.0031533078057691608
feature_ablation_xgboost_poly2,automl_suite_h2o,fit_time_sec,-572.3124723997986,-142.20590018356384,1.4666876284600303e-08,-580.4920935080008,-567.8186998245976
feature_ablation_xgboost_poly2,automl_suite_h2o,predict_time_sec,-0.02020871679997068,-5.978199176366409,0.003934667674467677,-0.027066083202953402,-0.016099248374302978
automl_suite_flaml,automl_suite_h2o,fit_time_sec,27.169003399601138,6.745317921830707,0.0025179293847684262,18.97444613299449,31.7036501662049
automl_suite_flaml,automl_suite_h2o,predict_time_sec,-0.0231658414006233,-6.939379950543671,0.0022647205604237773,-0.02981482479663098,-0.018970532805542444
boosting_suite_xgboost_baseline,boosting_suite_lightgbm_baseline,fit_time_sec,-0.17077417100081216,-28.058382580820687,4.5093112256684927e-10,-0.1833729413862966,-0.1599503070877472
boosting_suite_xgboost_baseline,boosting_suite_lightgbm_baseline,predict_time_sec,0.00013224550057202005,4.818382336168183,0.0009491112860976715,8.986169108539528e-05,0.00018807578519045007
boosting_suite_xgboost_baseline,boosting_suite_catboost_baseline,fit_time_sec,0.25028367900376913,26.45022761621635,7.625959372186558e-10,0.2311540105640597,0.26485640745038835
boosting_suite_xgboost_baseline,boosting_suite_catboost_baseline,predict_time_sec,0.0006053247023373896,10.737505303899454,1.973004393119666e-06,0.0004890373441594547,0.0006895422711022625
boosting_suite_lightgbm_baseline,boosting_suite_catboost_baseline,fit_time_sec,0.4210578500045813,47.39980829798294,4.147425936394423e-12,0.403032884631939,0.4334112631664902
boosting_suite_lightgbm_baseline,boosting_suite_catboost_baseline,predict_time_sec,0.00047307920176536955,5.982603797059639,0.0002068700586009583,0.0003114909039504838,0.0005786690301465744
