fold,framework,accuracy,f1_macro,roc_auc_ovr,avg_precision_ovr
1,XGBoost,0.9815326772088908,0.5012567813517492,0.8494334825623169,0.11229485072312265
2,XGBoost,0.9819730148197301,0.5243514577375675,0.8392795574033167,0.12887427110362776
3,XGBoost,0.9820836098208361,0.5015774716898954,0.8726739939900933,0.14316689354242315
4,XGBoost,0.9817518248175182,0.5292911682108975,0.8897163431741124,0.1641078681372074
5,XGBoost,0.9815306348153063,0.5070344873516343,0.8819120320436238,0.13143702546032232
