fold,framework,rmse,mae,r2
1,LightGBM,0.045047888643224274,0.034816909553032196,0.10108271055578077
2,LightGBM,0.04488487872228497,0.03817299898707307,0.11298519628330639
3,LightGBM,0.04373911197747513,0.03736976831856169,0.15386533993545404
4,LightGBM,0.0464849927628461,0.03899597767485486,0.048243518339849745
5,LightGBM,0.04662714137936716,0.04098636613950078,0.024774031608534308
