framework,seed,fold,fit_time_sec,predict_time_sec,rmse,mae,r2
automl_suite_h2o,42,1,588.9156362500071,0.03808608300460037,0.04144819440913642,0.03452388615854695,0.23900450706636533
automl_suite_h2o,42,2,569.0925805419974,0.01980037499743048,0.041522460344139527,0.03673243305457777,0.24090363136935233
automl_suite_h2o,42,3,569.1668291249953,0.02093924999644514,0.04105522465369305,0.03658292455108962,0.2545192588292854
automl_suite_h2o,42,4,567.7617436669971,0.021782166993943974,0.046706234230170146,0.03875782068386004,0.03916234704308719
automl_suite_h2o,42,5,569.351077290994,0.02299325000785757,0.045684767009004736,0.0398195678189842,0.0637959729431209
