fold,framework,rmse,mae,r2
1,XGBoost,0.043851953,0.03584427,0.14817821979522705
2,XGBoost,0.04305099,0.036844835,0.1839870810508728
3,XGBoost,0.043525312,0.03755243,0.1621171236038208
4,XGBoost,0.046701565,0.038941275,0.03935444355010986
5,XGBoost,0.04676676,0.039205298,0.01892489194869995
