framework,seed,fold,fit_time_sec,predict_time_sec,rmse,mae,r2
boosting_suite_xgboost_baseline,77,1,0.517002542008413,0.001923834002809599,0.042637184262275696,0.036567047238349915,0.19959872961044312
boosting_suite_xgboost_baseline,77,2,0.5206026250089053,0.0019147499988321215,0.04208691790699959,0.03541012108325958,0.18298810720443726
boosting_suite_xgboost_baseline,77,3,0.5142597499943804,0.001910583014250733,0.043448593467473984,0.0372985377907753,0.16722893714904785
boosting_suite_xgboost_baseline,77,4,0.4897980829991866,0.001884375000372529,0.046789683401584625,0.03813507407903671,0.0362238883972168
boosting_suite_xgboost_baseline,77,5,0.48046125000109896,0.0020557910029310733,0.04522651806473732,0.03834935650229454,0.08248329162597656
