framework,metric,ci95_lo,ci95_hi
XGBoost,f1_macro,0.5011251650853629,0.5242793814513346
XGBoost,accuracy,0.9815537240363346,0.981994980556578
LightGBM,f1_macro,0.5063393830961589,0.512330298212238
LightGBM,accuracy,0.9812247799965699,0.981837316375398
