framework_a,framework_b,metric,diff,t_stat,p_value,boot_ci_low,boot_ci_high
CatBoost,feature_ablation_xgboost_baseline,accuracy,-0.005348880251712096,-11.641517325020235,0.0003112044151679148,-0.006120056758590953,-0.004543771978530342
CatBoost,automl_suite_flaml,accuracy,-0.004201369609476258,-13.424095268830673,0.00017812013947855808,-0.004707261397988827,-0.003658461348633435
CatBoost,XGBoost,f1_macro,-0.0033154012743209504,-6.020206339763266,0.0038349744895638453,-0.004235695812487705,-0.0023546964447593187
CatBoost,XGBoost,accuracy,-0.005058917885125358,-10.686817484196517,0.00043433273232001046,-0.0058424332161144624,-0.0042260472576962195
CatBoost,H2O_AutoML,f1_macro,-0.002303097938272991,-3.0837741831606538,0.036796278425120996,-0.003562560627721134,-0.0010348751548924894
CatBoost,H2O_AutoML,accuracy,-0.0036443182852106126,-3.5193373134963424,0.024464680179527472,-0.005246762223278654,-0.0016459991362822502
CatBoost,LightGBM,f1_macro,-0.0034444656055298006,-5.945286309970875,0.004015007918579725,-0.004471467901761517,-0.0024609493715149534
CatBoost,LightGBM,accuracy,-0.0050527484730705785,-10.021770119072217,0.0005572914690289862,-0.005972299339872934,-0.004213708433586261
CatBoost,leaderboard,f1_macro,-0.002303097938272991,-3.0837741831606538,0.036796278425120996,-0.003562560627721134,-0.0010348751548924894
CatBoost,leaderboard,accuracy,-0.0036443182852106126,-3.5193373134963424,0.024464680179527472,-0.005246762223278654,-0.0016459991362822502
feature_ablation_xgboost_baseline,automl_suite_flaml,accuracy,0.0011475106422358383,4.079791133625243,0.015101014404730929,0.0006601270898883183,0.0016352026651861092
feature_ablation_xgboost_baseline,automl_suite_flaml,fit_time_sec,-99.04714376680495,-4.0384084664960005,0.015624538327807679,-141.75158405021065,-56.665506016803555
feature_ablation_xgboost_baseline,automl_suite_flaml,predict_time_sec,-0.05091515820240605,-2.5131360154861433,0.06583673823404235,-0.07802325383170684,-0.011246133205713719
feature_ablation_xgboost_baseline,XGBoost,accuracy,0.0002899623665867379,4.263926589290082,0.013012857587065217,0.00018508236165100113,0.0004071811956321891
feature_ablation_xgboost_baseline,H2O_AutoML,accuracy,0.0017045619665014833,1.3006503913780554,0.2632495533753183,-0.00035782589919173267,0.004187133377445718
feature_ablation_xgboost_baseline,LightGBM,accuracy,0.0002961317786415174,1.1231335461539829,0.32423152860697685,-0.00019125177370598044,0.0007281448577950881
feature_ablation_xgboost_baseline,leaderboard,accuracy,0.0017045619665014833,1.3006503913780554,0.2632495533753183,-0.00035782589919173267,0.004187133377445718
automl_suite_flaml,XGBoost,accuracy,-0.0008575482756491004,-2.822080526771851,0.04772715150173065,-0.0013575791227096196,-0.00027762354247629073
