feature,importance
MedInc,31.609728668844646
Latitude,20.579505791175745
Longitude,19.594150897870936
AveOccup,14.778327599465374
HouseAge,5.736593589369756
AveRooms,4.128126466079208
Population,1.8922316480532593
AveBedrms,1.6813353391410693
