feature,importance
date_2023-05-24,0.019929059
date_2023-06-27,0.01876015
date_2023-02-01,0.018713966
date_2023-01-01,0.018392745
date_2023-01-19,0.017972596
date_2023-02-04,0.017887412
date_2023-01-30,0.017431881
date_2023-02-02,0.016050043
date_2023-01-26,0.015953168
date_2023-01-29,0.01591058
date_2023-05-23,0.015538499
date_2023-01-24,0.015536924
date_2023-05-20,0.015282615
date_2023-05-26,0.015043765
date_2023-05-27,0.015006519
date_2023-06-01,0.01496841
date_2023-05-18,0.014355795
date_2023-05-30,0.014099726
date_2023-06-24,0.014022494
date_2023-01-31,0.013834687
date_2023-05-17,0.013820106
date_2023-01-05,0.013779301
date_2023-02-06,0.013590404
date_2023-01-02,0.013099948
date_2023-06-04,0.013094215
date_2023-06-02,0.012602731
date_2023-04-10,0.012378388
date_2023-06-23,0.012370444
date_2023-06-28,0.012366471
date_2023-04-09,0.012275956
date_2023-06-25,0.011818926
date_2023-01-12,0.011576502
date_2023-06-22,0.011276329
date_2023-02-08,0.011266995
date_2023-05-15,0.011258631
date_2023-05-22,0.011177658
date_2023-01-25,0.0111738555
date_2023-01-04,0.011010668
date_2023-02-09,0.011009007
date_2023-01-28,0.010936264
date_2023-05-28,0.010706298
date_2023-02-03,0.0106423525
date_2023-01-11,0.010613943
date_2023-01-08,0.010459319
date_2023-03-14,0.010211829
date_2023-03-15,0.0098920185
date_2023-06-08,0.009793395
date_2023-04-06,0.009161512
date_2023-01-03,0.009029755
date_2023-06-15,0.008825395
date_2023-02-05,0.008723288
date_2023-04-12,0.008665866
date_2023-06-14,0.008586969
date_2023-03-23,0.008556067
date_2023-04-14,0.0085474495
date_2023-06-17,0.008535047
date_2023-02-12,0.008523921
date_2023-06-03,0.008412481
date_2023-02-07,0.0075817374
date_2023-01-22,0.0074914093
date_2023-06-20,0.007451939
date_2023-05-29,0.007246472
date_2023-05-13,0.007223693
date_2023-03-17,0.00717777
date_2023-02-16,0.0067884964
date_2023-03-18,0.0067180987
date_2023-02-15,0.006630738
date_2023-01-13,0.0064778216
date_2023-06-12,0.006473015
date_2023-02-14,0.00632188
date_2023-01-10,0.006214801
date_2023-05-31,0.006076878
date_2023-02-10,0.0060365754
date_2023-04-15,0.0060302527
date_2023-03-21,0.0055081346
date_2023-06-21,0.005493661
date_2023-04-08,0.005468594
date_2023-03-08,0.0052983463
date_2023-03-20,0.0052357363
date_2023-03-26,0.0052288524
date_2023-06-18,0.005189797
date_2023-05-14,0.005017226
date_2023-03-22,0.005010563
date_2023-06-05,0.004889894
date_2023-01-18,0.0048339665
date_2023-04-16,0.0047969585
date_2023-05-11,0.004792736
date_2023-03-24,0.0047491975
date_2023-04-19,0.004676691
date_2023-02-25,0.004639864
date_2023-06-09,0.0044914046
date_2023-05-03,0.0043593673
date_2023-04-22,0.0042314664
date_2023-04-04,0.00421044
date_2023-05-07,0.0042024613
date_2023-04-07,0.0041212332
date_2023-03-13,0.0040421407
date_2023-05-05,0.0040177973
date_2023-01-15,0.003920893
date_2023-03-12,0.0037526384
date_2023-06-07,0.0037194062
date_2023-04-13,0.003625913
date_2023-04-29,0.0036157237
date_2023-02-20,0.0036118946
date_2023-04-17,0.0035828275
date_2023-03-30,0.0035488491
date_2023-02-22,0.00350207
date_2023-05-09,0.0034669952
date_2023-03-02,0.0034287337
date_2023-01-07,0.0033152355
date_2023-06-10,0.0
date_2023-06-11,0.0
date_2023-06-13,0.0
date_2023-04-18,0.0
date_2023-01-20,0.0
date_2023-05-10,0.0
date_2023-02-17,0.0
date_2023-02-19,0.0
date_2023-02-21,0.0
date_2023-02-23,0.0
date_2023-02-24,0.0
date_2023-02-26,0.0
date_2023-02-27,0.0
date_2023-02-28,0.0
date_2023-03-01,0.0
date_2023-03-03,0.0
date_2023-03-04,0.0
date_2023-03-05,0.0
date_2023-03-06,0.0
date_2023-03-07,0.0
date_2023-03-10,0.0
date_2023-03-27,0.0
date_2023-03-28,0.0
date_2023-04-03,0.0
date_2023-04-20,0.0
date_2023-04-23,0.0
date_2023-04-24,0.0
date_2023-04-25,0.0
date_2023-04-26,0.0
date_2023-04-27,0.0
date_2023-04-28,0.0
date_2023-05-02,0.0
date_2023-05-08,0.0
date_2023-04-01,0.0
