feature,importance
date_2023-06-29,0.022374304
date_2023-01-01,0.020069161
date_2023-02-01,0.019962119
date_2023-01-19,0.019369002
date_2023-02-04,0.01922759
date_2023-01-30,0.018864246
date_2023-02-02,0.017157076
date_2023-05-19,0.016460229
date_2023-05-20,0.016292708
date_2023-01-24,0.01621778
date_2023-05-23,0.015983146
date_2023-01-31,0.015812147
date_2023-05-21,0.015694965
date_2023-06-01,0.01563953
date_2023-05-26,0.015595459
date_2023-05-25,0.015492577
date_2023-05-27,0.015489853
date_2023-05-18,0.015312202
date_2023-05-30,0.015111321
date_2023-01-05,0.015010495
date_2023-02-06,0.014993359
date_2023-06-26,0.014877031
date_2023-06-24,0.014613919
date_2023-05-17,0.014205746
date_2023-06-04,0.0135262525
date_2023-04-10,0.012854446
date_2023-06-25,0.012571889
date_2023-04-09,0.012548758
date_2023-06-28,0.012427886
date_2023-02-08,0.01226467
date_2023-01-04,0.012145529
date_2023-01-25,0.012082802
date_2023-01-27,0.011886325
date_2023-01-28,0.011813384
date_2023-05-22,0.011719141
date_2023-02-09,0.011551101
date_2023-01-08,0.011054524
date_2023-03-15,0.011043837
date_2023-05-28,0.010936272
date_2023-02-03,0.010909632
date_2023-03-14,0.010744842
date_2023-05-16,0.010567228
date_2023-06-08,0.0101655135
date_2023-01-03,0.0100752
date_2023-04-12,0.009566962
date_2023-06-15,0.009332118
date_2023-04-14,0.009053108
date_2023-06-03,0.009047791
date_2023-02-12,0.008893796
date_2023-04-02,0.00886798
date_2023-01-21,0.008644827
date_2023-03-16,0.008536942
date_2023-06-20,0.008118607
date_2023-01-22,0.0074796057
date_2023-02-16,0.0074000126
date_2023-06-06,0.007208822
date_2023-03-17,0.007007141
date_2023-06-12,0.006935031
date_2023-04-11,0.006915448
date_2023-03-18,0.0069141802
date_2023-02-15,0.0067727086
date_2023-01-10,0.0067444216
date_2023-04-15,0.006673004
date_2023-01-13,0.006652067
date_2023-01-23,0.006635222
date_2023-02-14,0.0065360744
date_2023-03-25,0.00651782
date_2023-05-31,0.006389354
date_2023-02-11,0.0061014965
date_2023-05-12,0.0060701817
date_2023-06-21,0.005860179
date_2023-05-14,0.0057831546
date_2023-03-21,0.0056862896
date_2023-06-18,0.0056689885
date_2023-01-17,0.005592184
date_2023-04-19,0.0055222674
date_2023-03-08,0.005516276
date_2023-03-20,0.0054298625
date_2023-05-11,0.0053752274
date_2023-06-05,0.00533247
date_2023-02-25,0.0050645685
date_2023-04-22,0.005018613
date_2023-05-04,0.004971489
date_2023-06-19,0.004844158
date_2023-01-18,0.0046844543
date_2023-04-04,0.0046589705
date_2023-03-22,0.0046122335
date_2023-03-24,0.004598631
date_2023-02-13,0.0045952355
date_2023-05-03,0.0044473987
date_2023-03-11,0.0043659545
date_2023-01-06,0.0043600705
date_2023-04-21,0.00425533
date_2023-03-30,0.0042224512
date_2023-01-16,0.0041565876
date_2023-04-07,0.0041516693
date_2023-04-17,0.0039567496
date_2023-04-13,0.0039517735
date_2023-06-07,0.0039082766
date_2023-03-13,0.0038690623
date_2023-06-16,0.0038371184
date_2023-01-09,0.0038019258
date_2023-01-15,0.003707768
date_2023-02-23,0.0035629491
date_2023-02-20,0.003349245
date_2023-06-13,0.0032770666
date_2023-03-12,0.003140235
date_2023-04-26,0.0031331417
date_2023-03-29,0.0
date_2023-05-10,0.0
date_2023-02-27,0.0
date_2023-03-06,0.0
date_2023-03-05,0.0
date_2023-03-04,0.0
date_2023-03-03,0.0
date_2023-03-02,0.0
date_2023-02-28,0.0
date_2023-02-26,0.0
date_2023-03-09,0.0
date_2023-02-22,0.0
date_2023-02-19,0.0
date_2023-02-18,0.0
date_2023-02-17,0.0
date_2023-01-14,0.0
date_2023-01-07,0.0
date_2023-03-07,0.0
date_2023-03-10,0.0
date_2023-05-08,0.0
date_2023-04-23,0.0
date_2023-05-06,0.0
date_2023-05-01,0.0
date_2023-04-30,0.0
date_2023-04-27,0.0
date_2023-04-25,0.0
date_2023-04-24,0.0
date_2023-04-20,0.0
date_2023-03-19,0.0
date_2023-04-18,0.0
date_2023-04-05,0.0
date_2023-04-03,0.0
date_2023-04-01,0.0
date_2023-03-31,0.0
date_2023-03-27,0.0
date_2023-03-28,0.0
