feature,importance
date_2023-01-01,0.021568788
date_2023-06-29,0.021543315
date_2023-01-30,0.01988666
date_2023-05-24,0.019842375
date_2023-06-27,0.01967514
date_2023-01-29,0.019386102
date_2023-02-02,0.019290404
date_2023-01-26,0.01836367
date_2023-01-05,0.01708975
date_2023-02-06,0.016812231
date_2023-01-02,0.015638513
date_2023-05-25,0.015537552
date_2023-05-19,0.015509154
date_2023-05-27,0.015379906
date_2023-05-26,0.015341376
date_2023-05-21,0.0152478255
date_2023-06-01,0.015119185
date_2023-05-18,0.014592087
date_2023-05-23,0.014498693
date_2023-02-08,0.013970862
date_2023-01-12,0.013866944
date_2023-05-30,0.013605015
date_2023-01-27,0.013534925
date_2023-02-09,0.013495508
date_2023-06-24,0.013361935
date_2023-06-26,0.013338996
date_2023-02-03,0.012987066
date_2023-01-11,0.012736778
date_2023-01-08,0.01253238
date_2023-03-14,0.012380617
date_2023-06-28,0.012052374
date_2023-06-23,0.012047313
date_2023-06-02,0.011984539
date_2023-04-09,0.0116249425
date_2023-04-10,0.011618465
date_2023-06-22,0.011129657
date_2023-03-23,0.01074806
date_2023-02-12,0.010653654
date_2023-05-15,0.010648712
date_2023-02-05,0.010573305
date_2023-05-22,0.010478444
date_2023-01-21,0.010091713
date_2023-05-28,0.009776761
date_2023-03-16,0.00975539
date_2023-05-16,0.009546754
date_2023-02-07,0.009452912
date_2023-03-17,0.00929261
date_2023-04-06,0.009213779
date_2023-06-08,0.009144598
date_2023-06-15,0.008301659
date_2023-03-18,0.008201654
date_2023-01-13,0.008114613
date_2023-03-25,0.008016122
date_2023-04-02,0.007977345
date_2023-01-10,0.007936819
date_2023-01-23,0.007882776
date_2023-04-14,0.007852285
date_2023-06-17,0.007851381
date_2023-06-14,0.007836829
date_2023-02-14,0.0077903043
date_2023-02-11,0.0076951627
date_2023-02-10,0.0071786903
date_2023-03-21,0.0070832833
date_2023-01-17,0.006986506
date_2023-06-20,0.0069795433
date_2023-05-13,0.006807556
date_2023-05-29,0.0067527946
date_2023-03-26,0.0066622477
date_2023-04-11,0.0064038085
date_2023-06-06,0.0063718436
date_2023-03-24,0.0062211305
date_2023-03-22,0.0061524026
date_2023-02-13,0.0060836
date_2023-05-04,0.0059367386
date_2023-01-18,0.005935532
date_2023-06-12,0.005826843
date_2023-05-03,0.0056843604
date_2023-03-11,0.005624041
date_2023-01-16,0.0055709085
date_2023-05-31,0.005466035
date_2023-04-15,0.0054637906
date_2023-01-09,0.0052048154
date_2023-01-06,0.0051880293
date_2023-05-05,0.0051423567
date_2023-05-12,0.0049625356
date_2023-06-18,0.004833966
date_2023-04-08,0.004820452
date_2023-01-15,0.004785947
date_2023-06-05,0.004770547
date_2023-02-20,0.0045789755
date_2023-05-11,0.004531285
date_2023-05-14,0.004471154
date_2023-04-16,0.0044602314
date_2023-01-07,0.004439536
date_2023-04-29,0.0044077104
date_2023-06-09,0.0043430566
date_2023-03-19,0.003932521
date_2023-04-22,0.0038665356
date_2023-04-04,0.003825491
date_2023-03-03,0.0037762902
date_2023-06-19,0.0035878096
date_2023-03-10,0.0034962757
date_2023-05-07,0.003472322
date_2023-03-30,0.003429738
date_2023-02-18,0.0030559981
date_2023-03-01,0.0
date_2023-06-10,0.0
date_2023-06-07,0.0
date_2023-06-11,0.0
date_2023-04-26,0.0
date_2023-06-13,0.0
date_2023-02-28,0.0
date_2023-02-27,0.0
date_2023-06-16,0.0
date_2023-02-24,0.0
date_2023-02-21,0.0
date_2023-02-19,0.0
date_2023-01-20,0.0
date_2023-01-14,0.0
date_2023-03-04,0.0
date_2023-03-27,0.0
date_2023-03-06,0.0
date_2023-04-21,0.0
date_2023-04-30,0.0
date_2023-05-01,0.0
date_2023-05-02,0.0
date_2023-04-25,0.0
date_2023-04-24,0.0
date_2023-04-23,0.0
date_2023-05-06,0.0
date_2023-05-09,0.0
date_2023-05-10,0.0
date_2023-04-17,0.0
date_2023-03-07,0.0
date_2023-04-13,0.0
date_2023-04-05,0.0
date_2023-04-03,0.0
date_2023-04-01,0.0
date_2023-03-31,0.0
date_2023-03-29,0.0
date_2023-03-28,0.0
date_2023-04-28,0.0
date_2023-03-09,0.0
date_2023-04-07,0.0
