framework,metric,mean,std,ci95_low,ci95_high,boot_ci_low,boot_ci_high,n
feature_ablation_xgboost_baseline,fit_time_sec,0.26139464980005866,0.07470100531214321,0.11498067938825796,0.4078086202118594,0.20142480780032201,0.3269916498000384,5
feature_ablation_xgboost_baseline,predict_time_sec,0.0059029250000093795,0.0001930679450488956,0.005524511827713544,0.006281338172305215,0.005796224599725941,0.00607665040042772,5
feature_ablation_xgboost_poly2,fit_time_sec,0.6917424917997778,0.00591632742410851,0.6801464900485251,0.7033384935510304,0.6870565251996595,0.6963601749997906,5
feature_ablation_xgboost_poly2,predict_time_sec,0.0088880081999377,0.0003138886683736423,0.00827278640992536,0.009503229989950039,0.00868991639999872,0.00918659999988442,5
automl_suite_autogluon,fit_time_sec,29.93226163340005,8.310829786152663,13.64303525254083,46.221488014259265,23.974906116525176,36.07826191324502,5
automl_suite_autogluon,predict_time_sec,0.15098242479998583,0.10897176481315277,-0.06260223423379357,0.36456708383376524,0.07925043299983367,0.24929292479991996,5
boosting_suite_xgboost_baseline,fit_time_sec,0.258047624899973,0.05071278993490308,0.158650556627563,0.35744469317238303,0.22803386763251182,0.2898358529274469,10
boosting_suite_xgboost_baseline,predict_time_sec,0.00547923729991449,8.090568028031324e-05,0.005320662166565075,0.005637812433263904,0.005434768414911515,0.005531254355050776,10
boosting_suite_lightgbm_baseline,fit_time_sec,0.4449508333000267,0.06836073006586081,0.31096380237093957,0.5789378642291139,0.4173201138126887,0.49020346194490455,10
boosting_suite_lightgbm_baseline,predict_time_sec,0.01312284989999167,0.0003196649837991748,0.012496306531745287,0.013749393268238054,0.012945246249882946,0.013296331505123321,10
boosting_suite_catboost_baseline,fit_time_sec,0.8445056374999694,0.01994702952276729,0.8054094596353455,0.8836018153645934,0.8353987091649924,0.8567315797200422,10
boosting_suite_catboost_baseline,predict_time_sec,0.00224024979988821,0.00017004561497704703,0.0019069603945331979,0.0025735392052432223,0.002165770435140008,0.0023548120897793987,10
