framework,seed,fold,fit_time_sec,predict_time_sec,accuracy,precision,recall,f1
automl_suite_h2o,42,1,606.6324352499796,0.03642999997828156,0.9649122807017544,0.9855072463768116,0.9577464788732394,0.9714285714285714
automl_suite_h2o,42,2,587.6151805839909,0.028469082986703143,0.956140350877193,0.9714285714285714,0.9577464788732394,0.9645390070921985
automl_suite_h2o,42,3,588.008214957983,0.02564254100434482,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394
automl_suite_h2o,42,4,588.6394867089984,0.044338874984532595,1.0,1.0,1.0,1.0
automl_suite_h2o,42,5,587.9548171669885,0.025930500007234514,0.9911504424778761,0.9861111111111112,1.0,0.993006993006993
