iter	F1	Logloss
94	0.9203457502	0.1832114074
95	0.9202481989	0.1831098512
96	0.9202368669	0.1829526662
97	0.9202478869	0.1828125338
98	0.9202658828	0.1825601042
99	0.920278947	0.182442732
100	0.9206171548	0.1823523513
101	0.9206324999	0.1819738885
102	0.9206821082	0.181687231
103	0.9207012339	0.1815880832
104	0.9207684472	0.181489279
105	0.9207684472	0.1812997485
106	0.920938216	0.1811773584
107	0.9210451201	0.1811066669
108	0.921083184	0.1809139118
109	0.9211098733	0.1808081405
110	0.9212735966	0.1807152277
111	0.9212501512	0.1805294725
112	0.921478133	0.1804160374
113	0.9215412882	0.1803356424
114	0.9217428388	0.1802318706
115	0.9218141544	0.1801799105
116	0.9218141544	0.1800652124
117	0.9218321101	0.1800154602
118	0.921854418	0.1797691678
119	0.9219311543	0.179689613
120	0.9217906798	0.1794399631
121	0.9217716204	0.1793609036
122	0.9218750403	0.1792545609
123	0.92183531	0.179204621
124	0.9220323452	0.1791150179
125	0.9221960756	0.1790030426
126	0.9221960756	0.1789662333
127	0.9221395137	0.1788567244
128	0.922233027	0.1787642341
129	0.9225893463	0.1786173625
130	0.9225947628	0.1785695151
131	0.9225904129	0.1784913059
132	0.9226353302	0.1784006707
133	0.9226309814	0.1783280364
134	0.9226570745	0.1782529235
135	0.9226673677	0.1781286548
136	0.9227514858	0.1780815282
137	0.9227238023	0.1780117878
138	0.922713737	0.1779571448
139	0.9226976111	0.1778584084
140	0.9227901722	0.1777607247
141	0.9228053274	0.1776860261
142	0.9228378658	0.1775735764
143	0.922920586	0.177488182
144	0.9229465365	0.1774367212
145	0.9229475891	0.1772216919
146	0.9229524626	0.1771540241
147	0.9229931651	0.1771026433
148	0.9230491589	0.1770220169
149	0.9230491589	0.1769386892
150	0.9230491589	0.1769130401
151	0.9230486344	0.1768742175
152	0.9230491589	0.1768163024
153	0.9230686475	0.1766963095
154	0.9230637755	0.1766182414
155	0.9230642997	0.1765753555
156	0.9230870865	0.1765274684
157	0.9230724712	0.1764494016
158	0.9232435904	0.1764035653
159	0.9233669485	0.1763687614
160	0.9233144861	0.1761946231
161	0.9233746019	0.1761182671
162	0.9232382227	0.1759430274
163	0.9232545711	0.1759047934
164	0.9234145375	0.1758294425
165	0.9233171374	0.1757962416
166	0.9233279075	0.1756048577
167	0.923420951	0.1755114424
168	0.9234836236	0.1754724661
169	0.9236963116	0.1752977135
170	0.9237131706	0.1752632978
171	0.9236083527	0.1752096427
172	0.9236305898	0.1751468638
173	0.9238345436	0.1750757026
174	0.9238524319	0.1750389605
175	0.9238248349	0.1749927876
176	0.9238460497	0.1749613904
177	0.9238611215	0.1749229879
178	0.9238611215	0.1748910251
179	0.9239867812	0.1747492565
180	0.923954817	0.1747160532
181	0.9239466275	0.1746743194
182	0.9239655451	0.1746391268
183	0.9239730088	0.1746111891
184	0.9239822153	0.1745878451
185	0.9239747498	0.1745396143
186	0.9240282455	0.1745190477
187	0.9240375044	0.1744116211
188	0.9240607336	0.1743746233
189	0.9240650762	0.1743502403
190	0.9241946485	0.1743022064
191	0.9243442469	0.174264746
192	0.9243876929	0.1742340375
193	0.9243785039	0.1741762866
194	0.9244206014	0.1741409929
195	0.9245963685	0.1740209152
196	0.9245954926	0.1739307185
197	0.9246148434	0.1738922849
198	0.9246147318	0.1738248836
199	0.9246375455	0.1737471432
200	0.9245958732	0.1736981835
201	0.9246335891	0.1736859789
202	0.9246335891	0.1736719807
203	0.9246765291	0.1735869033
204	0.9246721854	0.1735745902
205	0.9246402975	0.1734501597
206	0.9246311157	0.1734239595
207	0.9246566836	0.1733858987
208	0.9247326913	0.1732957753
209	0.9246885729	0.1732535072
210	0.9247258841	0.1732014017
211	0.9246721854	0.1731853586
212	0.9247215409	0.1731483728
213	0.9247258841	0.1731141443
214	0.9247350633	0.1730984791
215	0.9247809568	0.1730427833
216	0.9248403671	0.1729640145
217	0.9248447105	0.1729086742
218	0.9248447105	0.172786937
219	0.9248847821	0.1727428576
220	0.9249118854	0.1726885494
221	0.9248620841	0.172611237
222	0.9248277523	0.1725581835
223	0.9248234086	0.1725060627
224	0.924760051	0.1724778493
225	0.9250114324	0.1724259362
226	0.9250302613	0.1723646643
227	0.9250138244	0.1723075582
228	0.9250495756	0.1722270434
229	0.9250635735	0.1721053929
230	0.9250920535	0.1720642768
231	0.9251518896	0.1719667544
232	0.925110818	0.1719172323
233	0.9251117895	0.1718393481
234	0.9251344738	0.17178797
235	0.9251561877	0.1717525404
236	0.9251605306	0.1717270992
237	0.9251735596	0.1717033041
238	0.9251402236	0.1716760603
239	0.9251440823	0.1716396965
240	0.9251489344	0.1715856798
241	0.925144106	0.1714782756
242	0.9251532778	0.1714421706
243	0.9251672776	0.1714142848
244	0.9251542478	0.1713720457
245	0.9252295295	0.1713391585
246	0.9252164966	0.1712772268
247	0.9252971108	0.1712274748
248	0.9252835967	0.1712100079
249	0.9252686394	0.1711116226
250	0.9253694916	0.1710620483
251	0.9253603237	0.170984706
252	0.9253154462	0.1709404292
253	0.9253202713	0.1708562607
254	0.9253530812	0.1708349672
255	0.9253801019	0.1707847434
256	0.9253791248	0.1707176604
257	0.9253791248	0.1706922807
258	0.9253839481	0.1705661023
259	0.9254196057	0.1705295631
260	0.9254441895	0.1704748564
261	0.9254441895	0.1704463221
262	0.9254533509	0.1704249334
263	0.9254480512	0.170386682
264	0.9254832604	0.170325367
265	0.9255015831	0.1703007858
266	0.9255107442	0.1702637165
267	0.9255068812	0.170248052
268	0.9255632755	0.1702214433
269	0.9255777299	0.1701938607
270	0.9255994354	0.170148522
271	0.9255984822	0.1701215586
272	0.9255980056	0.1700842218
273	0.9255936642	0.1700495904
274	0.9256149497	0.17001667
275	0.9256457637	0.1698998669
276	0.9256327383	0.169884003
277	0.9256467153	0.1698545153
278	0.9256471911	0.1698185474
279	0.9256732417	0.1698005395
280	0.9256703895	0.1697222391
281	0.9256838919	0.1696876466
282	0.925667949	0.1696342731
283	0.9256906096	0.1696184498
284	0.9256997686	0.1696109363
285	0.9257007183	0.16957548
286	0.9256997686	0.1695577711
287	0.9257181578	0.1695402772
288	0.9256915596	0.1695214243
289	0.9256867426	0.1695001502
290	0.9256828758	0.1694376894
291	0.9256534353	0.1694031318
292	0.9257045854	0.1693388261
293	0.9256954266	0.1693053712
294	0.9257137442	0.169234169
295	0.9258342104	0.169221425
296	0.9258573361	0.1691799824
297	0.9258000347	0.1691581363
298	0.9259720042	0.1691103303
299	0.9259575685	0.1690422026
300	0.9259749368	0.1689830767
301	0.9259840909	0.1689674959
302	0.9259845605	0.1688994389
303	0.9260354827	0.1688713667
304	0.9259825665	0.1688490801
305	0.9260239876	0.1688240214
306	0.9260491015	0.1688066643
307	0.9260554443	0.1687872457
308	0.9260597868	0.1687771795
309	0.9260597868	0.1687572186
310	0.926068472	0.1687420853
311	0.926081968	0.1687307437
312	0.9261559778	0.1687169359
313	0.9260700061	0.1686555975
314	0.9260700061	0.1685617834
315	0.926143561	0.1685411907
316	0.9260935932	0.1684973979
317	0.9260979363	0.1684694402
318	0.9261244626	0.168463449
319	0.926153179	0.168433215
320	0.9262256084	0.1684118997
321	0.9262207999	0.1683759492
322	0.926234295	0.168354728
323	0.9262709008	0.168309108
324	0.9262296429	0.1682789296
325	0.9261750384	0.1682507806
326	0.9262082358	0.1682317553
327	0.9262172332	0.1681316366
328	0.9262066864	0.1681123544
329	0.9261466461	0.1680974896
330	0.9261466461	0.1680935408
331	0.9262155257	0.1680471405
332	0.9262111823	0.1680181062
333	0.9262107168	0.1679890086
334	0.9262150602	0.1679738432
335	0.9262150602	0.1679517966
336	0.9262097856	0.167928507
337	0.9262189382	0.1679125214
338	0.9262189382	0.1678893985
339	0.9262136636	0.1678450042
340	0.9262406566	0.1678261166
341	0.9262642346	0.1677859188
342	0.9262546178	0.1677199525
343	0.9263514028	0.1676910499
344	0.9263658224	0.1676112874
345	0.9263709115	0.1675919306
346	0.9263844023	0.1675652115
347	0.9263978929	0.167544276
348	0.9263978929	0.1675410921
349	0.9264022358	0.1675227569
350	0.9264113835	0.1674416326
351	0.9264061168	0.1674182702
352	0.9264118453	0.167386954
353	0.9264113835	0.1673736753
354	0.9264104598	0.167349155
355	0.9264148029	0.1673340604
356	0.9264225659	0.1672689197
357	0.9264273708	0.1672546412
358	0.9264273708	0.1672465314
359	0.9264317141	0.1672432063
360	0.9265540519	0.1671875468
361	0.9265819494	0.1671600104
362	0.9266626557	0.1671433947
363	0.9266660845	0.1671060112
364	0.9266859741	0.1670731027
365	0.9266960318	0.1670602706
366	0.9266772866	0.1670423519
367	0.9266672276	0.1669827478
368	0.92665854	0.1669459756
369	0.92665854	0.16694271
370	0.9266702	0.1669058136
371	0.9266846034	0.1668784625
372	0.9268059511	0.1668560096
373	0.9268155459	0.1668323111
374	0.9268338258	0.1668088731
375	0.9268468546	0.1667891447
376	0.9268468546	0.166770419
377	0.9268603373	0.1667539411
378	0.9268694769	0.1667510516
379	0.9268790696	0.1667222555
380	0.9268224146	0.1667039938
381	0.9268493824	0.166682536
382	0.9268749898	0.1666568267
383	0.926851003	0.1666392631
384	0.9270079046	0.1666017516
385	0.9270174918	0.1665962061
386	0.9270305205	0.1665718707
387	0.9270348635	0.1665412583
388	0.92703007	0.1665159112
389	0.9270401071	0.166493865
390	0.9271272605	0.1664682298
391	0.927054036	0.1664179753
392	0.9270723071	0.1664155293
393	0.9271363932	0.1664037974
394	0.927172027	0.1663774716
395	0.9271807117	0.1663452994
396	0.9271811593	0.1663209529
397	0.9271989761	0.1663028843
398	0.9272037657	0.1662885007
399	0.9272128975	0.1662710434
