framework,seed,fold,fit_time_sec,predict_time_sec,rmse,mae,r2,ablation_suite,preprocessing_variant,feature_variant,feature_description,feature_variant_key,estimator_name,experiment_family
feature_ablation_lightgbm_poly2,42,1,0.021939790996839292,0.0016163749969564378,3.0807313747625042,2.559093203073667,-1.24625235757847e-05,True,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,poly2,lightgbm,feature_ablation
feature_ablation_lightgbm_poly2,42,2,0.021471832995302975,0.0015549999952781945,2.9855700672317798,2.611271351207922,-0.003949564998086297,True,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,poly2,lightgbm,feature_ablation
feature_ablation_lightgbm_poly2,42,3,0.021090833004564047,0.0014968750037951395,3.4859592980175487,3.044588365672548,-0.030235590597042172,True,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,poly2,lightgbm,feature_ablation
feature_ablation_lightgbm_poly2,42,4,0.021461624986841343,0.0015401249984279275,2.7619724992278787,2.43248987197876,-0.0068524527853990325,True,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,poly2,lightgbm,feature_ablation
feature_ablation_lightgbm_poly2,42,5,0.021366457993281074,0.001556750008603558,2.909335932007845,2.3461032119798073,-0.14114270391143058,True,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,poly2,lightgbm,feature_ablation
