framework,metric,mean,std,ci95_low,ci95_high,boot_ci_low,boot_ci_high,n
CatBoost,f1_macro,0.9644598848490837,0.01165841330511404,0.9416093947710602,0.9873103749271073,0.9538831968005218,0.9717726403150133,5
CatBoost,accuracy,0.9666200900481293,0.011401894276319617,0.9442723772665429,0.9889678028297157,0.9561403508771932,0.9736376339077782,5
CatBoost,roc_auc_ovr,0.9943843942206207,0.003401049989489737,0.9877183362412209,1.0010504522000205,0.9915758547841745,0.9969652107303597,5
CatBoost,avg_precision_ovr,0.9966572847377917,0.0020460527309877114,0.9926470213850558,1.0006675480905276,0.9949227403407093,0.9982092684394315,5
feature_ablation_xgboost_baseline,accuracy,0.9630957925787922,0.01901043513139633,0.9258353397212554,1.000356245436329,0.9473684210526315,0.9788852662630025,5
feature_ablation_xgboost_baseline,fit_time_sec,0.30307028339011594,0.005704595291705022,0.2918892766183741,0.31425129016185777,0.29866315838880836,0.30748138359165744,5
feature_ablation_xgboost_baseline,predict_time_sec,0.0026462252018973004,9.419757378389e-05,0.002461597957280876,0.002830852446513725,0.0025749917957000198,0.0027230918058194,5
feature_ablation_xgboost_poly2,accuracy,0.9701288619779538,0.004763014374511675,0.960793353803911,0.9794643701519966,0.9666200900481291,0.9736376339077782,5
feature_ablation_xgboost_poly2,fit_time_sec,0.45004216660163365,0.015144938602833542,0.4203580869400799,0.4797262462631874,0.43763669980107806,0.4620652498037089,5
feature_ablation_xgboost_poly2,predict_time_sec,0.02210843339562412,0.0006055094609783746,0.020921634852106505,0.023295231939141736,0.021648341795662378,0.02257265819935126,5
automl_suite_flaml,accuracy,0.9613414066138798,0.013283525855960565,0.9353056959361971,0.9873771172915625,0.9525694767893185,0.9736221083682658,5
automl_suite_flaml,fit_time_sec,600.136899041399,0.10315638585162851,599.9347125251298,600.3390855576682,600.0511855009898,600.2218432478242,5
automl_suite_flaml,predict_time_sec,0.00246854999859346,0.0006555331791792917,0.0011837049674020485,0.0037533950297848717,0.00196974198915988,0.00296354159945618,5
XGBoost,f1_macro,0.954689643895483,0.010861876633436839,0.9334003656939468,0.9759789220970193,0.9470091372715682,0.962370150519398,2
XGBoost,accuracy,0.9578329626884111,0.009836943854905657,0.938552552732796,0.9771133726440262,0.950877192982456,0.9647887323943662,2
XGBoost,roc_auc_ovr,0.9895016006528152,0.00960026741043858,0.9706850765283556,1.0083181247772748,0.98271318646569,0.9962900148399406,2
XGBoost,avg_precision_ovr,0.989543487452557,0.011640000629371957,0.966729086218988,1.012357888686126,0.9813127640745124,0.9977742108306016,2
H2O_AutoML,f1_macro,0.9682810258080103,0.013930847145498432,0.9409765654028334,0.9955854862131873,0.9588704865339865,0.9796263510078915,5
H2O_AutoML,accuracy,0.9705925487241436,0.013147821947381106,0.9448228177072766,0.9963622797410105,0.9616931803521018,0.9813447569569951,5
H2O_AutoML,roc_auc_ovr,0.993190249193433,0.00422760834948009,0.984904136828452,1.001476361558414,0.9902957010618826,0.9966620792734705,5
H2O_AutoML,avg_precision_ovr,0.9947560798116578,0.003884445860941142,0.9871425659242131,1.0023695936991024,0.9918793774244904,0.9976436560107956,5
boosting_suite_xgboost_baseline,accuracy,0.9604564508616675,0.013873160102750108,0.9332650570602773,0.9876478446630578,0.9533915541065052,0.9683900015525542,10
boosting_suite_xgboost_baseline,fit_time_sec,0.30106282499909864,0.00628583368487156,0.28874259097675037,0.3133830590214469,0.29733309799587004,0.30463237730466064,10
boosting_suite_xgboost_baseline,predict_time_sec,0.00288598749903027,0.0007835822542214024,0.001350166280756321,0.004421808717304219,0.0026055852636272495,0.0033861648936362666,10
boosting_suite_lightgbm_baseline,accuracy,0.9674739947213167,0.017109351173024964,0.9339396664221877,1.0010083230204456,0.9578636857630803,0.978087641670548,10
boosting_suite_lightgbm_baseline,fit_time_sec,0.7664180042993394,0.030882352286667122,0.7058885938174718,0.8269474147812069,0.7495983768333463,0.783775453273629,10
boosting_suite_lightgbm_baseline,predict_time_sec,0.00199041259766086,8.48360628799239e-05,0.0018241339144162091,0.0021566912809055107,0.0019411557822968063,0.0020374246425853564,10
FLAML,f1_macro,0.9712773998488284,0.0,0.9712773998488284,0.9712773998488284,0.9712773998488284,0.9712773998488284,1
FLAML,accuracy,0.9736842105263158,0.0,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,1
FLAML,roc_auc_ovr,0.9904100529100528,0.0,0.9904100529100528,0.9904100529100528,0.9904100529100528,0.9904100529100528,1
FLAML,avg_precision_ovr,0.9934704868409512,0.0,0.9934704868409512,0.9934704868409512,0.9934704868409512,0.9934704868409512,1
boosting_suite_catboost_baseline,accuracy,0.9666045645086166,0.012966732977522547,0.9411897678726725,0.9920193611445608,0.958686151218755,0.973660922217047,10
boosting_suite_catboost_baseline,fit_time_sec,0.7343045748042641,0.021138919470403576,0.6928722926422731,0.7757368569662552,0.7243383258459289,0.7478446405181967,10
boosting_suite_catboost_baseline,predict_time_sec,0.00182662080042061,0.000842310581426622,0.00017569206082443086,0.003477549540016789,0.0014911081222817111,0.0024169230931511015,10
automl_suite_h2o,accuracy,0.971914299021891,0.022689103333979013,0.9274436564872921,1.0163849415564898,0.9543859649122808,0.9895156031672101,5
automl_suite_h2o,fit_time_sec,591.770026933588,8.316568795973515,575.4695520934799,608.0705017736962,587.8200418089924,599.1839383200661,5
automl_suite_h2o,predict_time_sec,0.03216219979221928,0.008084934783703007,0.016315727616161384,0.04800867196827717,0.026380624802550278,0.039088117902720036,5
