framework,seed,fold,fit_time_sec,predict_time_sec,accuracy,precision,recall,f1
boosting_suite_catboost_baseline,77,1,7.008590124998591,0.05386316699150484,0.9240545376025665,0.8834803256445047,0.9054406396662611,0.8943256931925487
boosting_suite_catboost_baseline,77,2,7.012551084000734,0.05454387499776203,0.9234067493367882,0.8889559444779722,0.8961411437510864,0.892534083531703
boosting_suite_catboost_baseline,77,3,7.6298213330010185,0.06527404100052081,0.9246406317477944,0.8910848364546474,0.8973579002259691,0.8942103667778114
boosting_suite_catboost_baseline,77,4,7.269947292006691,0.0856764999916777,0.9218335492627553,0.8889948833579048,0.8910039113428944,0.8899982635874284
boosting_suite_catboost_baseline,77,5,7.000656332995277,0.05683549999957904,0.924764019988895,0.8911130284728214,0.897696653628857,0.894392725698203
