framework,seed,fold,fit_time_sec,predict_time_sec,accuracy,precision,recall,f1
boosting_suite_xgboost_baseline,42,1,4.168571791000431,0.1457783340010792,0.9231291257943118,0.8892727586802557,0.8948374760994264,0.8920464390920118
boosting_suite_xgboost_baseline,42,2,4.166465625006822,0.10157791699748486,0.922573878709359,0.8861607142857143,0.8970971666956371,0.8915954046816965
boosting_suite_xgboost_baseline,42,3,4.356571875003283,0.17266091700003017,0.924363008205318,0.8931735278791036,0.8937945419780984,0.8934839270199826
boosting_suite_xgboost_baseline,42,4,4.24413624999579,0.13010799999756273,0.920599666851749,0.888135593220339,0.888135593220339,0.888135593220339
boosting_suite_xgboost_baseline,42,5,4.0047322919999715,0.08632870799920056,0.9272934789314579,0.8977391304347826,0.8973489787049109,0.8975440121712671
