fold,framework,accuracy,f1_macro,roc_auc_ovr,avg_precision_ovr
1,LightGBM,0.9225430316490838,0.9155232540670482,0.9823262763940334,0.9700585245238682
2,LightGBM,0.9216484669011044,0.9147691788072403,0.9822555384596254,0.9698041019916674
3,LightGBM,0.9248257141094454,0.9180540793354939,0.9829083925940771,0.9711825357847443
4,LightGBM,0.9207847492133999,0.9135737392111094,0.981663557928666,0.9687896997705738
5,LightGBM,0.9266765377259547,0.9199660269756693,0.9836114323338635,0.9722896386100705
