framework,metric,ci95_lo,ci95_hi
XGBoost,f1_macro,0.6170364532448838,0.6700413716698965
XGBoost,accuracy,0.8389988308218068,0.8650011691781931
LightGBM,f1_macro,0.5959617083201172,0.6632706830681787
LightGBM,accuracy,0.8301586149458773,0.8538413850541227
