framework,metric,ci95_lo,ci95_hi
XGBoost,f1_macro,0.5212413424273846,0.5473594675708428
XGBoost,accuracy,0.5237578308176409,0.5545755025156924
LightGBM,f1_macro,0.4991368288392686,0.5261315928861592
LightGBM,accuracy,0.5022877662296451,0.5310455671036881
