fold,framework,rmse,mae,r2
1,LightGBM,0.4302332873443678,0.28047079823776194,0.8587458689518279
2,LightGBM,0.4331069969413641,0.28112453181863334,0.8626875863839465
3,LightGBM,0.4469472734403675,0.28266670254404513,0.8464612683293447
4,LightGBM,0.4181385879167313,0.27275363420026805,0.868836507575307
5,LightGBM,0.4384329768098643,0.2859619301973477,0.8571877555422189
