fold,framework,rmse,mae,r2
1,XGBoost,0.4518431615250219,0.2956432183202824,0.844199600272126
2,XGBoost,0.447428546091226,0.29445772479770715,0.853456426137831
3,XGBoost,0.45446264163969513,0.29344983846728423,0.8412543836661854
4,XGBoost,0.4319048940649633,0.28505499332842665,0.8600577907436803
5,XGBoost,0.45628686698312465,0.30088325409588657,0.8453197169832736
