feature,importance
date_2023-01-01,0
date_2023-01-02,0
date_2023-05-02,0
date_2023-05-03,0
date_2023-05-04,0
date_2023-05-05,0
date_2023-05-06,0
date_2023-05-07,0
date_2023-05-09,0
date_2023-05-10,0
date_2023-05-11,0
date_2023-05-12,0
date_2023-05-13,0
date_2023-05-14,0
date_2023-05-15,0
date_2023-05-16,0
date_2023-05-18,0
date_2023-05-01,0
date_2023-04-30,0
date_2023-04-29,0
date_2023-04-16,0
date_2023-04-09,0
date_2023-04-10,0
date_2023-04-11,0
date_2023-04-13,0
date_2023-04-14,0
date_2023-04-15,0
date_2023-04-17,0
date_2023-04-28,0
date_2023-04-21,0
date_2023-04-22,0
date_2023-04-23,0
date_2023-04-24,0
date_2023-04-25,0
date_2023-04-26,0
date_2023-05-19,0
date_2023-05-21,0
date_2023-05-22,0
date_2023-06-19,0
date_2023-06-13,0
date_2023-06-14,0
date_2023-06-15,0
date_2023-06-16,0
date_2023-06-17,0
date_2023-06-18,0
date_2023-06-20,0
date_2023-06-11,0
date_2023-06-22,0
date_2023-06-23,0
date_2023-06-24,0
date_2023-06-26,0
date_2023-06-27,0
date_2023-06-28,0
date_2023-06-12,0
date_2023-06-10,0
date_2023-05-23,0
date_2023-05-30,0
date_2023-05-24,0
date_2023-05-25,0
date_2023-05-26,0
date_2023-05-27,0
date_2023-05-28,0
date_2023-05-29,0
date_2023-05-31,0
date_2023-06-09,0
date_2023-06-01,0
date_2023-06-02,0
date_2023-06-05,0
date_2023-06-06,0
date_2023-06-07,0
date_2023-06-08,0
date_2023-04-08,0
date_2023-04-07,0
date_2023-04-06,0
date_2023-02-06,0
date_2023-01-27,0
date_2023-01-29,0
date_2023-01-30,0
date_2023-02-02,0
date_2023-02-03,0
date_2023-02-05,0
date_2023-02-07,0
date_2023-01-23,0
date_2023-02-08,0
date_2023-02-09,0
date_2023-02-10,0
date_2023-02-11,0
date_2023-02-12,0
date_2023-02-13,0
date_2023-01-26,0
date_2023-01-21,0
date_2023-02-18,0
date_2023-01-11,0
date_2023-01-05,0
date_2023-01-06,0
date_2023-01-07,0
date_2023-01-08,0
date_2023-01-09,0
date_2023-01-10,0
date_2023-01-12,0
date_2023-01-20,0
date_2023-01-13,0
date_2023-01-14,0
date_2023-01-15,0
date_2023-01-16,0
date_2023-01-17,0
date_2023-01-18,0
date_2023-02-14,0
date_2023-02-19,0
date_2023-04-05,0
date_2023-03-28,0
date_2023-03-22,0
date_2023-03-23,0
date_2023-03-24,0
date_2023-03-25,0
date_2023-03-26,0
date_2023-03-27,0
date_2023-03-29,0
date_2023-03-19,0
date_2023-03-30,0
date_2023-03-31,0
date_2023-04-01,0
date_2023-04-02,0
date_2023-04-03,0
date_2023-04-04,0
date_2023-03-21,0
date_2023-03-18,0
date_2023-02-20,0
date_2023-03-04,0
date_2023-02-21,0
date_2023-02-24,0
date_2023-02-27,0
date_2023-02-28,0
date_2023-03-01,0
date_2023-03-03,0
date_2023-03-06,0
date_2023-03-17,0
date_2023-03-07,0
date_2023-03-09,0
date_2023-03-10,0
date_2023-03-11,0
date_2023-03-14,0
date_2023-03-16,0
date_2023-06-29,0
